Country,Good thing,Dont mind,Bad thing,No answer,Dont know
TOTAL,58.7,25,13,0.9,2.3
Argentina,70.8,20.4,7,0,1.9
China,53.2,15.3,15,16.5,0
India,43.2,42.1,14.1,0,0.6
Japan,4,17.4,74.1,0,4.5
Mexico,67.8,15.8,5.8,0,10.7
Peru,79.1,16.9,2.3,0,1.6
South Africa,72.7,23.5,3.8,0,0
Spain,60,29.5,8.1,0,2.3
Sweden,20.6,52.4,19.9,0,7
Turkey,68.3,22.6,7.8,0.2,1.1
United States,70,23.1,6.4,0,0.4
