Country,Have done,Might do,Would never do,No answer,Dont know
TOTAL,30.2,33.6,29.4,0.1,6.8
Argentina,21.5,29.7,43.4,0,5.4
India,23.8,23.5,35,0.1,17.5
Japan,56.8,26.6,6.5,0,10.2
Mexico,14.8,33.8,39.7,0,11.7
Peru,21,54.9,17.8,0,6.3
South Africa,20.6,40.5,32.5,0,6.4
Spain,23.6,31.6,33.9,0,10.8
Sweden,87.2,10.2,2.5,0,0.2
Turkey,13.5,42,43.3,0.2,1
United States,80.7,15.8,3,0,0.5
