Country,Very happy,Rather happy,Not very happy,Not at all happy,HT/RU,No answer,Dont know
TOTAL,28.5,52.1,14.9,3.4,0,0.4,0.7
Argentina,32.4,55.2,9.9,1.4,0,0.4,0.7
Australia,35.2,56.4,7.1,0.8,0,0.6,0
Brazil,34,56.4,8.8,0.6,0,0.2,0.1
China,18.8,58,19,3.5,0,0.1,0.6
Germany,19.3,61.9,14.1,1.5,0,0.6,2.6
India,28.9,46.4,21.6,2.7,0,0,0.3
Iraq,6.2,46,28.4,17.1,0,1.4,1
Japan,28.4,58.9,8.9,1.1,0,2.7,0
Jordan,29.8,57.1,10.9,2.2,0,0,0
Malaysia,36.5,58.3,5.1,0.2,0,0,0
Mexico,58.3,32.4,8.3,0.7,0,0.3,0.1
Netherlands,41.8,52.1,5.3,0.5,0.2,0.2,0
New Zealand,38.1,58.4,2.5,0.1,0,0.4,0.5
Peru,27.9,39.5,30.4,1.8,0,0.5,0
Poland,21.3,66.4,7.2,1.2,0,0,3.9
Romania,7.3,48,36.5,7.4,0,0.1,0.6
Russia,10.5,55.2,25.9,3.9,0.2,0.6,3.8
South Africa,42.7,35.1,15.7,6.1,0,0,0.3
Spain,13.6,78.4,6.3,1.2,0.2,0.2,0.1
Sweden,43,53.1,3.2,0.5,0,0.2,0
Thailand,40.2,52.2,6.7,0.6,0,0.3,0
Turkey,37.3,48.8,9.4,4.3,0,0,0.1
United States,34.4,58.8,6.4,0.4,0,0,0
Uruguay,30.3,55.6,11.9,1.7,0,0.5,0
