Country,Most people can be trusted,Need to be very careful,RU/HT,No answer,Dont know
TOTAL,28.6,67.1,0,1.4,2.8
Argentina,17.4,81.3,0,0.2,1.1
Australia,45.6,53.2,0,1.2,0
Brazil,9.2,89.2,0,1.5,0
China,49.3,44.4,0,0.8,5.5
Germany,33.8,57.9,0,1.7,6.6
India,20.7,68.2,0,0,11.1
Iraq,38.6,56,0,1.3,4.1
Japan,36.6,57,0,0,6.4
Jordan,30.7,68.7,0,0.6,0
Malaysia,8.8,91.2,0,0,0
Mexico,15.4,83.8,0,0.3,0.4
Netherlands,42.6,52,0.1,2.2,3.1
New Zealand,48.5,46.3,0,5.1,0
Peru,6.2,92.4,0,1.4,0
Poland,18.1,77.3,0,0.2,4.4
Romania,19.3,75.6,0,2.1,3
Russia,24.6,69.1,0.2,0.6,5.5
Spain,19.8,78.9,0.2,0.1,1
Sweden,65.2,30.7,0,4.1,0
Thailand,41.3,58.1,0,0.6,0
Turkey,4.8,94.6,0.2,0,0.3
United States,39.1,60.3,0.4,0.2,0
Uruguay,24.6,61.9,0,13.5,0
